civ1 dev,civ1 arms,civ1 agg,civ1 com,civ2 dev,civ2 arms,civ2 agg,civ2 com,dist,rounds,outcome
1.52,0.00275,0.32,0.3,0.08,0.24379,0.97,1.59,6,1,Civ 1 Annihilates Civ 2
0.27,0.02085,0.25,1.19,0.56,0.46777,0.86,1.53,10,12,Civ 2 Annihilates Civ 1
1.75,0.32401,0.62,1.98,1.45,0.33083,0.56,1.76,8,1,Civ 2 Annihilates Civ 1
1.02,0.39565,0.32,0.12,1.77,0.16462,0.86,0.76,3,1,Civ 2 Annihilates Civ 1
1.4,0.02956,0.21,0.28,0.78,0.64504,0.67,1.29,8,1,Civ 2 Annihilates Civ 1
1.79,0.78468,0.45,0.81,1.19,0.54625,0.32,1.33,4,1,Civ 2 Annihilates Civ 1
1.33,0.29954,0.24,1.38,0.98,0.4962,0.3,0.17,7,1,Civ 2 Annihilates Civ 1
1.99,0.69719,0.48,0.48,1.23,0.22775,0.38,0.19,4,1,Civ 2 Annihilates Civ 1
1.78,0.37133,0.09,1.38,0.29,0.17919,0.8,0.79,4,1,Civ 2 Annihilates Civ 1
0.03,0.1309,0.95,1.57,0.5,0.31478,0.83,1.13,9,1,Civ 2 Annihilates Civ 1
1.73,0.17673,0.66,1.99,1.24,0.59155,0.52,0.95,3,1,Civ 2 Annihilates Civ 1
1.55,0.41167,0.75,1.74,1.52,0.19547,0.33,0.87,10,1,Civ 2 Annihilates Civ 1
0.02,0.33812,0.54,0.96,0.99,0.64387,0.38,1.27,8,1,Everyone Has Died
1.05,0.76812,0.33,1.24,0.94,0.34797,0.46,1.6,5,20,Trust Established
1.8,0.25258,0.72,1.41,0.51,0.36906,0.8,1.42,9,29,Civ 1 Annihilates Civ 2
1.98,0.03731,0.87,0.72,1.45,0.24521,0.24,1.19,7,95,Civ 2 Annihilates Civ 1
0.07,0.3277,0.05,1.3,1,0.51624,0.57,0.69,6,1,Civ 2 Annihilates Civ 1
0.51,0.09007,0.22,0.89,0.26,0.44005,0.17,1.39,7,1,Civ 2 Annihilates Civ 1
1.63,0.9313,0.89,1.06,0.34,0.09966,0.84,0.11,6,1,Civ 2 Annihilates Civ 1
0.6,0.57146,0.58,1.19,1.61,0.85525,0.41,1.72,1,1,Civ 2 Annihilates Civ 1
0.7,0.64431,0.13,0.5,1.82,0.1314,0.08,0.31,8,2,Civ 2 Annihilates Civ 1
1.57,0.15501,0.32,0.95,1.61,0.10455,0.62,0.72,8,1,Civ 2 Annihilates Civ 1
0.15,0.12727,0.19,1.8,0.66,0.09079,0.01,0.29,3,1,Civ 2 Annihilates Civ 1
1.02,0.53906,0.76,0.69,1.31,0.01115,0.6,0.16,2,1,Civ 2 Annihilates Civ 1
1.61,0.26231,0.16,1.15,1.04,0.20025,0.87,0.48,1,1,Civ 2 Annihilates Civ 1
1.32,0.21813,0.57,1.47,0.21,0.2854,0.3,0.13,2,1,Civ 2 Annihilates Civ 1
0.55,0.42454,0.16,0.57,1.16,0.59858,0.46,0.92,4,1,Civ 2 Annihilates Civ 1
0.19,0.01415,0.26,1.98,1.29,0.39425,0.79,1.54,7,1,Civ 2 Annihilates Civ 1
1.21,0.21982,0.17,0.15,0.13,0.42573,0.28,1.36,2,1,Civ 2 Annihilates Civ 1
0.42,0.27464,0.97,0.36,1.33,0.77716,0.6,0.78,7,1,Civ 2 Annihilates Civ 1
1.09,0.49025,0.47,0.51,1.94,0.3187,0.4,1.17,2,1,Civ 2 Annihilates Civ 1
0.39,0.1223,0.93,0.55,0.21,0.33219,0.48,0.97,5,21,Civ 1 Annihilates Civ 2
1.43,0.14249,0.24,0.19,0.35,0.06776,0.44,1.74,5,1,Civ 1 Annihilates Civ 2
1.68,0.22294,0.1,1.52,1.02,0.15767,0.49,1.14,5,1,Civ 1 Annihilates Civ 2
1.86,0.73286,0.61,0.47,1.84,0.00944,0.39,1.29,4,1,Civ 1 Annihilates Civ 2
1.61,0.1674,0.08,1.07,0.76,0.5972,0.89,0.61,5,1,Civ 1 Annihilates Civ 2
1.07,0.09696,0.95,0.33,1.66,0.26395,0.08,1.6,8,2,Civ 1 Annihilates Civ 2
0.49,0.12236,0.86,0.74,0.57,0.59049,0.4,0.78,5,1,Civ 1 Annihilates Civ 2
0.05,0.07585,0.6,0.58,0.16,0.29744,0.45,1.69,1,1,Civ 1 Annihilates Civ 2
0.72,0.44629,0.03,0.65,0.41,0.67063,0.09,0.7,6,1,Civ 1 Annihilates Civ 2
0.6,0.1127,0.37,0.16,1.15,0.64156,0.82,1.39,1,1,Civ 1 Annihilates Civ 2
1.16,0.65251,0.77,1.17,1.42,0.0905,0.06,0.53,2,2,Civ 1 Annihilates Civ 2
0.14,0.80986,0.52,1.2,1.91,0.19766,0.84,0.52,5,2,Civ 2 Annihilates Civ 1
0.96,0.201,0.15,1.97,1.98,0.29683,0.44,0.01,10,1,Civ 2 Annihilates Civ 1
0.21,0.52131,0.21,1.88,0.57,0.69149,0.17,1.31,2,1,Civ 1 Annihilates Civ 2
0.41,0.0862,0.28,0.14,1.52,0.2776,0.79,1.63,5,2,Civ 1 Annihilates Civ 2
0.56,0.3912,0.74,1.02,0.55,0.07251,0.9,1.53,8,1,Civ 1 Annihilates Civ 2
1.45,0.17225,0.87,1.32,1.42,0.55142,0.73,1.3,10,1,Civ 1 Annihilates Civ 2
0.44,0.10294,0.82,1.97,1.59,0.82644,0.15,1.77,7,6,Civ 2 Annihilates Civ 1
1.85,0.59013,0.57,0.72,0.39,0.3504,0.63,0.87,4,1,Civ 1 Annihilates Civ 2
1.37,0.1561,0.95,1.05,0.51,0.0392,0.43,0.99,6,2,Civ 1 Annihilates Civ 2
1.59,0.29388,0.91,1.33,0.92,0.7232,0.37,0.7,1,3,Civ 2 Annihilates Civ 1
0.5,0.15289,0.99,1.48,1.37,0.25674,0.99,1.15,10,1,Civ 2 Annihilates Civ 1
1.62,0.28653,0.93,1.98,1.29,0.48306,0.8,1.11,9,13,Civ 1 Annihilates Civ 2
1.09,0.1222,0.26,1.4,0.97,0.28116,0.63,0.32,3,1,Civ 1 Annihilates Civ 2
1.46,0.59605,0.25,0.52,0.24,0.18212,0.61,1.97,10,1,Civ 1 Annihilates Civ 2
1.97,0.67675,0.66,0.26,1.98,0.02046,0.3,0.5,9,3,Civ 2 Annihilates Civ 1
0.98,0.33046,0.49,0.62,0.87,0.11835,0.28,0.42,3,1,Everyone Has Died
1.23,0.32973,0.32,1.72,1.52,0.78457,0.63,0.48,4,2,Civ 2 Annihilates Civ 1
0.11,0.07872,0.33,1.88,0.29,0.71524,0.77,0.12,4,1,Civ 2 Annihilates Civ 1
0.68,0.46339,0.17,0.99,1.81,0.6236,0.75,1.2,10,1,Civ 2 Annihilates Civ 1
1.38,0.21681,0.56,1.54,1.8,0.58911,0.48,0.54,1,1,Civ 2 Annihilates Civ 1
1.75,0.17904,0.3,1.33,0.91,0.66572,0.66,1.47,9,1,Civ 2 Annihilates Civ 1
1.07,0.06343,0.41,1.36,1.17,0.36715,0.52,0.72,10,1,Civ 2 Annihilates Civ 1
0.91,0.38273,0.88,1.7,1.42,0.33617,0.71,0.49,1,1,Civ 2 Annihilates Civ 1
1.43,0.12239,0.82,0.85,1.89,0.14674,0.9,0.92,5,1,Everyone Has Died
0.33,0.55338,0.95,0.19,1.14,0.46911,0.92,1.27,7,1,Civ 2 Annihilates Civ 1
1.83,0.56687,0.87,0.1,0.04,0.59831,0.01,0.33,1,2,Everyone Has Died
0.39,0.57228,0.59,0.29,0.9,0.03854,0.3,0.74,5,5,Civ 1 Annihilates Civ 2
1.18,0.28161,0.89,1.2,0.55,0.32496,0.91,0.71,5,10,Civ 2 Annihilates Civ 1
1.6,0.02884,0.3,0.55,0.44,0.81345,0.92,1.31,7,2,Civ 2 Annihilates Civ 1
0.3,0.42611,0.68,1.53,1.28,0.88989,0.92,0.87,3,1,Civ 2 Annihilates Civ 1
1.19,0.37679,0.69,0.62,1.75,0.6306,0.07,0.54,2,2,Civ 2 Annihilates Civ 1
0.58,0.79027,0.68,0.94,0.38,0.03382,0.93,1.6,1,1,Everyone Has Died
1.29,0.2318,0.14,0.39,0.09,0.07131,0.83,1.87,9,2,Civ 2 Annihilates Civ 1
0.26,0.27035,0.57,1.68,0.42,0.37255,0.14,1.37,2,8,Trust Established
1.86,0.47124,0.83,1.7,0.48,0.23596,0.93,0.68,7,8,Civ 1 Annihilates Civ 2
0.25,0.21717,0.44,1.85,1.72,0.68242,0.95,0.47,4,1,Civ 1 Annihilates Civ 2
0.75,0.0162,0.16,1.77,0.98,0.0788,0.85,0.78,1,1,Civ 1 Annihilates Civ 2
1.2,0.11779,0.61,1.42,1.07,0.12932,0.01,1.33,4,1,Civ 1 Annihilates Civ 2
1.72,0.56556,0.75,1.09,0.72,0.15132,0.97,1.63,5,1,Civ 1 Annihilates Civ 2
1.39,0.01108,0.98,0.79,0.1,0.03215,0.11,0.09,2,1,Civ 1 Annihilates Civ 2
0.75,0.59254,0.02,0.78,0.46,0.36938,0.43,1.9,9,1,Civ 1 Annihilates Civ 2
0.26,0.02897,0.58,1.34,0.86,0.1611,0.01,0.66,6,1,Civ 1 Annihilates Civ 2
1.98,0.04394,0.76,0.01,0.18,0.08674,0.35,1.46,1,1,Civ 1 Annihilates Civ 2
1.52,0.30049,0.51,0.71,1.79,0.23645,0.79,0.55,10,43,Trust Established
0.76,0.69775,0.23,1.01,1.41,0.57265,0.75,1.92,4,7,Trust Established
0,0.73957,0.95,0.1,0.86,0.35044,0.22,0.26,10,0,Civ 2 Annihilates Civ 1
1.66,0.44691,0.14,0.28,0.09,0.50928,0.56,0.56,7,16,Trust Established
1.98,0.93756,0.75,1.36,0.91,0.24806,0.36,1.1,9,21,Civ 1 Annihilates Civ 2
0.75,0.28571,0.88,1.72,1.51,0.22541,0.42,1.72,6,5,Civ 2 Annihilates Civ 1
0.04,0.36653,0.88,0.3,0.65,0.41038,0.18,1.01,6,11,Civ 2 Annihilates Civ 1
0.57,0.45657,0.12,0.88,0.11,0.023,0.41,0.46,5,218,Trust Established
1.61,0.54773,0.44,1.88,0.79,0.32472,0.83,1.96,2,7,Trust Established
0.43,0.43754,0.43,0.74,0.77,0.16168,0.81,0.01,7,23,Civ 2 Annihilates Civ 1
0.81,0.42685,0.96,1.47,0.94,0.36718,0.1,0.73,1,2,Civ 2 Annihilates Civ 1
1.04,0.49727,0.49,1.74,0.38,0.15067,0.46,0.3,7,2,Civ 2 Annihilates Civ 1
0.8,0.18835,0.14,1.95,1.75,0.03622,0,0.35,1,2,Civ 2 Annihilates Civ 1
0.95,0.23248,0.38,1.81,1.63,0.38729,0.3,0.1,2,2,Civ 2 Annihilates Civ 1
0.52,0.48382,0.5,0.48,1.08,0.67093,0.21,0.73,8,2,Civ 2 Annihilates Civ 1
0.72,0.51411,0.29,1.95,1.53,0.02909,0.64,0.25,8,1,Civ 2 Annihilates Civ 1
0.35,0.00821,0.28,0.56,1.86,0.15057,0.56,1.38,7,1,Civ 2 Annihilates Civ 1
0.19,0.67405,0.81,0.41,1.61,0.41936,0.84,1.13,3,1,Civ 2 Annihilates Civ 1
0.28,0.43655,0.65,1.57,0.3,0.5508,0.61,0.16,10,1,Civ 2 Annihilates Civ 1
0.75,0.53258,0.01,0.76,0.9,0.61259,0.22,1.26,2,1,Civ 2 Annihilates Civ 1
1.56,0.38163,0.2,0.7,1.93,0.33584,0.24,0.75,10,2,Civ 2 Annihilates Civ 1
1.92,0.3802,0.01,0.36,1.18,0.11573,0.2,0.38,7,3,Civ 2 Annihilates Civ 1
1.9,0.17277,0.05,0.68,0.57,0.22025,0.7,1.28,2,8,Civ 1 Annihilates Civ 2
1.33,0.28221,0.44,1.38,0.01,0.11068,0.53,0.83,6,55,Trust Established
1.32,0.5589,0.69,1.67,1.13,0.24986,0.41,1.84,1,5,Trust Established
0.1,0.26241,0.19,0.97,0.53,0.25188,0.98,0.03,3,7,Civ 2 Annihilates Civ 1
0.97,0.58717,0.72,1.8,0.74,0.22587,0.58,0.42,2,2,Civ 2 Annihilates Civ 1
0.65,0.23897,0.58,0.86,1.14,0.0754,0.34,1.08,6,2,Civ 2 Annihilates Civ 1
0.52,0.13793,0.16,0.06,0.76,0.67937,0.11,1.15,10,1,Civ 2 Annihilates Civ 1
